cb9f980a-78d0-43cd-a51d-1db2e4b20feb,PRJ-8850-01,Переход каталог сервисов для ServiceDesk для снижения рисков (контур ServiceDesk),"Проект в дочерней компании КМГ-Кумколь: Переход каталог сервисов для ServiceDesk для снижения рисков (контур ServiceDesk). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",3,active,2024-04-21,,218000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
67dc1f4b-337c-47a9-a61d-52ae5738cbb4,PRJ-8539-02,Стабилизация переезд в Kubernetes для ЛК пользователя (контур ServiceDesk),"Проект в дочерней компании КМГ-Кумколь: Стабилизация переезд в Kubernetes для ЛК пользователя (контур ServiceDesk). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",1,planning,2025-07-06,,45000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
d7108aa8-ad2d-4787-8fb1-cbe12fa09eaa,PRJ-8540-03,Рефакторинг модуль для ServiceDesk — сопровождение для снижения рисков,"Проект в дочерней компании КМГ-Кумколь: Рефакторинг модуль для ServiceDesk — сопровождение для снижения рисков. Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",5,active,2025-02-12,,66000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
db48c679-bd75-43e8-b043-c697bea2faaf,PRJ-1154-04,Интеграция миграция для ML-модель прогноза — MVP в рамках цифровой трансформации (контур КМГ-Кумколь),"Проект в дочерней компании КМГ-Кумколь: Интеграция миграция для ML-модель прогноза — MVP в рамках цифровой трансформации (контур КМГ-Кумколь). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",5,active,2025-08-09,,202000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
a70deba0-1b44-43f7-8afd-e66a2c6523dc,PRJ-9877-05,Автоматизация переезд в Kubernetes для SAP — этап 2 (CAB),"Проект в дочерней компании КМГ-Кумколь: Автоматизация переезд в Kubernetes для SAP — этап 2 (CAB). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",1,active,2024-06-01,,89000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
c09d50bd-0ca0-422d-b8d2-401343fb5a0d,PRJ-3004-06,Переход дашборд для Kubernetes — этап 1 по запросу бизнеса (контур ServiceDesk),"Проект в дочерней компании КМГ-Кумколь: Переход дашборд для Kubernetes — этап 1 по запросу бизнеса (контур ServiceDesk). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",8,done,2024-04-12,,74000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
e963abf7-e6fd-497d-9ff3-752d4b9a68b2,PRJ-4821-07,Оптимизация дашборд для DWH для импортозамещения (контур интеграций),"Проект в дочерней компании КМГ-Кумколь: Оптимизация дашборд для DWH для импортозамещения (контур интеграций). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",6,on_hold,2025-01-22,,,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
40bd7fdf-a7aa-47b8-b718-90f1d187e7b8,PRJ-8102-08,Интеграция переход на API для CI/CD (контур BI/DWH),"Проект в дочерней компании КМГ-Кумколь: Интеграция переход на API для CI/CD (контур BI/DWH). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",8,active,2025-04-16,,236000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
9d814464-7f57-44c8-8ae1-6c5a54691196,PRJ-8591-09,Автоматизация дашборд для API Gateway — сопровождение в рамках цифровой трансформации (RCA follow-up),"Проект в дочерней компании КМГ-Кумколь: Автоматизация дашборд для API Gateway — сопровождение в рамках цифровой трансформации (RCA follow-up). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",2,planning,2025-07-11,,,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
95717935-f9fb-408a-9fb7-3d7176618477,PRJ-2594-10,Цифровизация витрина для CI/CD — версия 1.0 в рамках оптимизации затрат (контур интеграций),"Проект в дочерней компании КМГ-Кумколь: Цифровизация витрина для CI/CD — версия 1.0 в рамках оптимизации затрат (контур интеграций). Включает интеграции/разработку/сопровождение, возможны Python/.NET/ML компоненты.",5,active,2025-10-22,,147000000.00,2026-02-25 22:21:35.293375+00,2026-02-25 22:21:35.293375+00
